alpha,N,m,T_over_tau,nsubs,R,meanV,varV,edf,edf_se,meanW,B,B_se
2,1024,1,1.023000e+03,1021,3000,1.0095469600e-01,4.8866661900e-05,417.128989,10.880499,1.5511900714e-01,0.650821,0.000081
2,1024,2,5.115000e+02,1017,3000,1.3871483953e-02,6.2978507661e-07,611.059468,15.745106,1.2771001906e-02,1.086170,0.000420
2,1024,4,2.557500e+02,1009,3000,1.5656207806e-03,1.1670077900e-08,420.077475,10.441839,1.4844629737e-03,1.054671,0.000402
2,1024,8,1.278750e+02,993,3000,1.8286220587e-04,2.8825519346e-10,232.006827,5.992533,1.7567243769e-04,1.040927,0.000521
2,1024,16,6.393750e+01,961,3000,2.2058874576e-05,9.0062737785e-12,108.056664,2.706047,2.1393921703e-05,1.031081,0.000765
2,1024,32,3.196875e+01,897,3000,2.6951777595e-06,2.8359945205e-13,51.227061,1.404201,2.6187979792e-06,1.029166,0.001167
2,1024,64,1.598438e+01,769,3000,3.3438482422e-07,1.0052675636e-14,22.245463,0.677236,3.2608687833e-07,1.025447,0.001756
2,1024,128,7.992188e+00,513,3000,4.1488264878e-08,3.6311565491e-16,9.480594,0.300415,4.0486558255e-08,1.024742,0.003366
2,2048,1,2.047000e+03,2045,3000,1.0104107452e-01,2.2872554952e-05,892.711703,22.960345,1.5526461210e-01,0.650767,0.000059
2,2048,2,1.023500e+03,2041,3000,1.3876324300e-02,3.2280673093e-07,1192.988607,30.873961,1.2778591807e-02,1.085904,0.000284
2,2048,4,5.117500e+02,2033,3000,1.5618094751e-03,5.4077710265e-09,902.127263,23.715583,1.4797517688e-03,1.055454,0.000288
2,2048,8,2.558750e+02,2017,3000,1.8234803213e-04,1.4233608629e-10,467.215387,11.866989,1.7518149260e-04,1.040909,0.000375
2,2048,16,1.279375e+02,1985,3000,2.1965614336e-05,4.3810504432e-12,220.261428,5.930008,2.1290255245e-05,1.031722,0.000548
2,2048,32,6.396875e+01,1921,3000,2.6846626476e-06,1.3185422978e-13,109.323964,2.918151,2.6077298332e-06,1.029502,0.000777
2,2048,64,3.198438e+01,1793,3000,3.3393028297e-07,4.5755517605e-15,48.741415,1.298485,3.2517833978e-07,1.026914,0.001107
2,2048,128,1.599219e+01,1537,3000,4.1375794037e-08,1.4835639812e-16,23.078969,0.683248,4.0293880190e-08,1.026851,0.001753
2,2048,256,7.996094e+00,1025,3000,5.1517780220e-09,6.0504153475e-18,8.773221,0.285173,5.0366447023e-09,1.022859,0.003400
2,4096,1,4.095000e+03,4093,3000,1.0093662549e-01,1.2106699863e-05,1683.068463,43.846200,1.5507234637e-01,0.650900,0.000042
2,4096,2,2.047500e+03,4089,3000,1.3881505654e-02,1.5788412022e-07,2440.982652,65.017637,1.2784405233e-02,1.085816,0.000212
2,4096,4,1.023750e+03,4081,3000,1.5607789505e-03,2.7127066880e-09,1796.014986,47.771835,1.4788877663e-03,1.055373,0.000197
2,4096,8,5.118750e+02,4065,3000,1.8207677415e-04,6.9088343952e-11,959.697390,25.201396,1.7496273183e-04,1.040660,0.000265
2,4096,16,2.559375e+02,4033,3000,2.1948054655e-05,2.2156833109e-12,434.824869,11.561765,2.1262423333e-05,1.032246,0.000385
2,4096,32,1.279688e+02,3969,3000,2.6900857914e-06,6.8548514035e-14,211.136935,5.452086,2.6155175998e-06,1.028510,0.000538
2,4096,64,6.398438e+01,3841,3000,3.3180445978e-07,2.0996929350e-15,104.866952,2.710428,3.2247989796e-07,1.028915,0.000781
2,4096,128,3.199219e+01,3585,3000,4.1683514104e-08,7.4364114888e-17,46.729941,1.252961,4.0751889619e-08,1.022861,0.001142
2,4096,256,1.599609e+01,3073,3000,5.1632222500e-09,2.3800367220e-18,22.402061,0.654798,5.0265193336e-09,1.027196,0.001800
2,4096,512,7.998047e+00,2049,3000,6.4734646117e-10,9.3554241937e-20,8.958598,0.390816,6.3332685298e-10,1.022136,0.003347
2,8192,1,8.191000e+03,8189,3000,1.0103224294e-01,5.9892649083e-06,3408.603316,85.032619,1.5525002846e-01,0.650771,0.000029
2,8192,2,4.095500e+03,8185,3000,1.3870754230e-02,7.5408060956e-08,5102.844987,133.602062,1.2770259146e-02,1.086176,0.000140
2,8192,4,2.047750e+03,8177,3000,1.5615062764e-03,1.3431486120e-09,3630.725341,94.849032,1.4797952180e-03,1.055218,0.000145
2,8192,8,1.023875e+03,8161,3000,1.8232447499e-04,3.5672669384e-11,1863.735726,50.314363,1.7522196919e-04,1.040534,0.000189
2,8192,16,5.119375e+02,8129,3000,2.1970012343e-05,1.0446777777e-12,924.077170,23.068465,2.1278327963e-05,1.032507,0.000264
2,8192,32,2.559688e+02,8065,3000,2.6953537571e-06,3.4219911193e-14,424.602614,10.954421,2.6199286406e-06,1.028789,0.000387
2,8192,64,1.279844e+02,7937,3000,3.3333026180e-07,1.0962990982e-15,202.698449,5.000515,3.2451024933e-07,1.027179,0.000559
2,8192,128,6.399219e+01,7681,3000,4.1480595173e-08,3.3751808375e-17,101.958375,2.646047,4.0425839637e-08,1.026091,0.000786
2,8192,256,3.199609e+01,7169,3000,5.1730385926e-09,1.1313970244e-18,47.304930,1.272654,5.0450028671e-09,1.025379,0.001123
2,8192,512,1.599805e+01,6145,3000,6.4077176821e-10,3.5628190820e-20,23.048516,0.700798,6.2576005153e-10,1.023990,0.001789
2,8192,1024,7.999023e+00,4097,3000,7.8859481958e-11,1.2537853348e-21,9.920068,0.318057,7.6835991315e-11,1.026335,0.003283
2,16384,1,1.638300e+04,16381,3000,1.0094422660e-01,2.8538214313e-06,7141.117361,179.175072,1.5510294323e-01,0.650821,0.000021
2,16384,2,8.191500e+03,16377,3000,1.3873584388e-02,3.6600078032e-08,10517.810568,277.922457,1.2777047008e-02,1.085821,0.000102
2,16384,4,4.095750e+03,16369,3000,1.5611464228e-03,7.0579825170e-10,6906.160925,180.112893,1.4790920029e-03,1.055476,0.000104
2,16384,8,2.047875e+03,16353,3000,1.8238245089e-04,1.8572980232e-11,3581.908555,92.697837,1.7528758636e-04,1.040476,0.000136
2,16384,16,1.023938e+03,16321,3000,2.1976921468e-05,5.4470161570e-13,1773.393224,48.388736,2.1286689143e-05,1.032426,0.000186
2,16384,32,5.119688e+02,16257,3000,2.6921829440e-06,1.6559368801e-14,875.377448,22.233434,2.6157225653e-06,1.029231,0.000271
2,16384,64,2.559844e+02,16129,3000,3.3393092547e-07,5.3038709701e-16,420.484826,10.970929,3.2537651555e-07,1.026291,0.000386
2,16384,128,1.279922e+02,15873,3000,4.1528534962e-08,1.6215702466e-17,212.709776,5.476476,4.0468555349e-08,1.026193,0.000551
2,16384,256,6.399609e+01,15361,3000,5.1849413951e-09,5.1810611827e-19,103.776490,2.922307,5.0519550813e-09,1.026324,0.000756
2,16384,512,3.199805e+01,14337,3000,6.5084287418e-10,1.7816372016e-20,47.551370,1.302286,6.3627943064e-10,1.022888,0.001133
2,16384,1024,1.599902e+01,12289,3000,8.0854773435e-11,5.8287850049e-22,22.431757,0.652806,7.8943676610e-11,1.024208,0.001804
2,16384,2048,7.999512e+00,8193,3000,9.9454908198e-12,2.0497609606e-23,9.651153,0.349571,9.6945040824e-12,1.025890,0.003376
2,32768,1,3.276700e+04,32765,3000,1.0097046574e-01,1.4675064492e-06,13894.364768,359.313580,1.5514150336e-01,0.650828,0.000015
2,32768,2,1.638350e+04,32761,3000,1.3877467102e-02,2.0121050495e-08,19142.548566,497.437610,1.2780333069e-02,1.085845,0.000073
2,32768,4,8.191750e+03,32753,3000,1.5613866399e-03,3.4189811298e-10,14261.138899,375.752044,1.4793588037e-03,1.055448,0.000075
2,32768,8,4.095875e+03,32737,3000,1.8253198204e-04,9.0972018443e-12,7324.873085,183.457800,1.7548194744e-04,1.040175,0.000095
2,32768,16,2.047938e+03,32705,3000,2.1970714757e-05,2.7352774033e-13,3529.530909,89.222566,2.1269521039e-05,1.032967,0.000131
2,32768,32,1.023969e+03,32641,3000,2.6955034048e-06,8.5866315737e-15,1692.337337,44.143761,2.6200073720e-06,1.028815,0.000191
2,32768,64,5.119844e+02,32513,3000,3.3367695073e-07,2.5457193598e-16,874.725700,23.175188,3.2490989609e-07,1.026983,0.000265
2,32768,128,2.559922e+02,32257,3000,4.1444175807e-08,7.9448744431e-18,432.384356,10.768331,4.0394219658e-08,1.025993,0.000368
2,32768,256,1.279961e+02,31745,3000,5.1628351487e-09,2.5326047684e-19,210.493695,5.634665,5.0308830545e-09,1.026228,0.000552
2,32768,512,6.399805e+01,30721,3000,6.4604456774e-10,8.1324410689e-21,102.644109,2.728917,6.3029594833e-10,1.024986,0.000770
2,32768,1024,3.199902e+01,28673,3000,8.0731293680e-11,2.7227953285e-22,47.873902,1.276659,7.8783709552e-11,1.024721,0.001128
2,32768,2048,1.599951e+01,24577,3000,1.0117236703e-11,9.7224730257e-24,21.056058,0.580403,9.8560769278e-12,1.026497,0.001872
2,32768,4096,7.999756e+00,16385,3000,1.2566054702e-12,3.4120431519e-25,9.255787,0.288667,1.2238856455e-12,1.026734,0.003423
1,1024,1,1.023000e+03,1021,3000,2.6191042115e-01,2.5679223324e-04,534.261242,14.323829,3.8556929573e-01,0.679282,0.000112
1,1024,2,5.115000e+02,1017,3000,5.9770756079e-02,1.1922213355e-05,599.308732,15.843092,5.8382150278e-02,1.023785,0.000313
1,1024,4,2.557500e+02,1009,3000,1.2144109555e-02,9.1523499697e-07,322.276568,8.156342,1.2128816058e-02,1.001261,0.000382
1,1024,8,1.278750e+02,993,3000,2.7972076205e-03,1.0451417477e-07,149.728407,3.787916,2.8188304269e-03,0.992329,0.000539
1,1024,16,6.393750e+01,961,3000,6.8141106414e-04,1.2819637327e-08,72.439029,1.856824,6.8882338088e-04,0.989239,0.000812
1,1024,32,3.196875e+01,897,3000,1.6926107874e-04,1.6737902947e-09,34.232858,0.963467,1.7137915710e-04,0.987641,0.001202
1,1024,64,1.598438e+01,769,3000,4.1883255923e-05,2.2216404113e-10,15.791999,0.442888,4.2322225578e-05,0.989628,0.001848
1,1024,128,7.992188e+00,513,3000,1.0462160558e-05,3.4261554388e-11,6.389483,0.243613,1.0724750894e-05,0.975515,0.003362
1,2048,1,2.047000e+03,2045,3000,2.6157769471e-01,1.2975426880e-04,1054.653400,27.305410,3.8499319824e-01,0.679435,0.000078
1,2048,2,1.023500e+03,2041,3000,5.9801531593e-02,6.0220907875e-06,1187.701517,30.742422,5.8423178156e-02,1.023593,0.000232
1,2048,4,5.117500e+02,2033,3000,1.2152187902e-02,4.6937497942e-07,629.243898,16.390292,1.2133606163e-02,1.001531,0.000272
1,2048,8,2.558750e+02,2017,3000,2.8022591701e-03,5.3086211590e-08,295.845427,7.592191,2.8240676152e-03,0.992278,0.000401
1,2048,16,1.279375e+02,1985,3000,6.8268985337e-04,6.5422690722e-09,142.478223,3.739769,6.9066915690e-04,0.988447,0.000568
1,2048,32,6.396875e+01,1921,3000,1.6902260439e-04,7.9447743031e-10,71.918068,1.966318,1.7098004704e-04,0.988552,0.000782
1,2048,64,3.198438e+01,1793,3000,4.2339623143e-05,9.7095860538e-11,36.925234,1.009212,4.2850341606e-05,0.988081,0.001177
1,2048,128,1.599219e+01,1537,3000,1.0657789546e-05,1.4098497288e-11,16.113558,0.572551,1.0793249112e-05,0.987450,0.001832
1,2048,256,7.996094e+00,1025,3000,2.6296253790e-06,2.2733717861e-12,6.083413,0.213145,2.6944851914e-06,0.975929,0.003263
1,4096,1,4.095000e+03,4093,3000,2.6166396335e-01,6.4648504641e-05,2118.162828,56.718009,3.8506990749e-01,0.679523,0.000058
1,4096,2,2.047500e+03,4089,3000,5.9866346549e-02,2.9906360616e-06,2396.800798,62.944697,5.8500454967e-02,1.023348,0.000153
1,4096,4,1.023750e+03,4081,3000,1.2150259496e-02,2.2600199975e-07,1306.438049,34.258138,1.2127397018e-02,1.001885,0.000188
1,4096,8,5.118750e+02,4065,3000,2.8028517538e-03,2.4162093436e-08,650.272955,16.536411,2.8244995278e-03,0.992336,0.000258
